Cümle,Tür,,Cümle ,Tür
Masal en güzel yazı türüdür.  ,Öznel,,Türkiye’nin doğusunda en yüksek dağ Ağrı Dağı’dır. ,Nesnel
Saçlarının örgüsü çok güzel olmuştu ,Öznel,,Deniz suyu tatlı suya göre daha tuzludur. ,Nesnel
Yeni aldığı çantayı çok beğendim. ,Öznel,,"Kütle, maddenin değişmeyen özelliğidir. ",Nesnel
Son kitabının kapağını beğenmedim. ,Öznel,,Kışın gece süresi yazdan daha uzundur. ,Nesnel
Masasının üzerinde ilginç bir not duruyordu.  ,Öznel,,"Türkiye, GMT+3 saat diliminde yer alır. ",Nesnel
Bu tarz ortamlardan hiç hoşlanmam. ,Öznel,,Dünya’nın en yüksek noktası Everest Dağı’dır. ,Nesnel
Futbolu diğer sporlardan daha eğlenceli bulurum. ,Öznel,,Duyu organlarından biri olan dil tat almaya yarar. ,Nesnel
Başarılı olmak için çalışmak şarttır. (Başkası için mutlu olmanın kriteri farklı olabilir. Kişisel görüş içerdiği için özneldir.) ,Öznel,,"Dünya’nın iç katmanları çekirdek, manto ve kabuk olarak ayrılır. ",Nesnel
Denizi dinlemek insana ayrı bir huzur veriyor. ,Öznel,,Toprak oluşumu binlerce yıl süren bir süreçtir. ,Nesnel
Son filminde oyunculuğu zirve yapmış. ,Öznel,,Elektron negatif yüklü bir parçacıktır. ,Nesnel
Seni benim kadar kimse sevemez. ,Öznel,,Yağış miktarı yağmur ölçer (plüvyometre) ile ölçülür. ,Nesnel
Yeni aldığı ayakkabı çok güzelmiş. ,Öznel,,"Gözlük camı, görme kusurlarını düzeltmek için kullanılır. ",Nesnel
Bu kitap harika bir eser. ,Öznel,,Türkiye’de yaz saati uygulaması kalıcı olarak kaldırılmıştır. ,Nesnel
En güzel çiçek papatyadır. ,Öznel,,Çift çenekli bitkilerde yaprak damarları ağsı şekildedir. ,Nesnel
Yazmak insanı mutlu eden bir eylemdir. ,Öznel,,"Çözelti, iki veya daha fazla maddenin homojen karışımıdır. ",Nesnel
Pijamasının rengi harikaydı. ,Öznel,,İnsan vücudu 37°C civarında sabit ısıda çalışır. ,Nesnel
Dünyanın en güzel ülkesi Malezyadır ,Öznel,,Helyum balonları havadan hafiftir. ,Nesnel
Meyvelerin en lezzetlisi mandalinadır. ,Öznel,,"Filler, memeli ve otobur hayvanlardır. ",Nesnel
 Okulun yolunda yürürken gördüğüm manzara beni adeta büyüledi ,Öznel,,"Gök gürültüsü, yıldırım sonucu oluşan ses dalgalarıdır. ",Nesnel
Sabahın ilk ışıkları ile güne başlamak insana huzur verir. ,Öznel,,Güneş enerjisi yenilenebilir bir enerji kaynağıdır. ,Nesnel
Zamanın bize en kıymetli hediye olduğunu hepimiz biliyoruz. ,Öznel,,Türkiye’nin üç tarafı denizlerle çevrilidir. ,Nesnel
O hiç konuşmasa da bakışları insana huzur veriyordu. ,Öznel,,"Buz, sudan daha az yoğundur, bu yüzden yüzer. ",Nesnel
"Arabasının rengini gören herkes, ona imreniyordu. ",Öznel,,Kurbağalar larva döneminde solungaçla nefes alır. ,Nesnel
Radyoda en sevdiğin şarkı çalarken yolculuk yapmanın güzelliği tarif edilemez ,Öznel,,Kimyada pH değeri 7 olan maddeler nötrdür. ,Nesnel
Kitapta anlatılan olay herkese ilginç gelir.( Benim için sıradan bir olay olabilir.) ,Öznel,,Taş kömürü fosil bir yakıttır. ,Nesnel
Yeşili eminim ki hiç sevmezsiniz. ,Öznel,,"Elektrik enerjisi üretim, iletim ve dağıtım aşamalarından geçer. ",Nesnel
Boş zamanlarını güzel değerlendirmenin en iyi yolu kitap okumaktır. ,Öznel,,İnsan omurgası S harfi şeklindedir. ,Nesnel
Yağmurlu havaları severim. ,Öznel,,"Kar, sıvı suyun donarak katı hale gelmiş şeklidir. ",Nesnel
Masanın modelini hiç beğenmedim. ,Öznel,,Ağaç gövdesinde kambiyum tabakası bulunur. ,Nesnel
Sınavda sorulan sorular çok kolaydı. ,Öznel,,"İnsanların kan grupları A, B, AB ve 0'dır. ",Nesnel
Çizdiği resimlerdeki karakterler her zaman çirkin gelir bana. ,Öznel,,Suyun yüzey gerilimi sayesinde bazı böcekler üzerinde yürüyebilir. ,Nesnel
Matematik dersini hiç sevmem. ,Öznel,,Astronotlar uzayda yerçekimsiz ortamda bulunur. ,Nesnel
Okul her zaman eğlenceli bir yerdir. ,Öznel,,Gözdeki iris renkli kısımdır. ,Nesnel
Bilgisayar oyunları çok faydalıdır. ,Öznel,,"Türkiye, NATO üyesi bir ülkedir. ",Nesnel
Film izlemek zaman kaybına yol açar. ,Öznel,,Balıkların çoğu solungaçlarıyla nefes alır. ,Nesnel
Kitap okumak zekayı güçlendirir. ,Öznel,,"Atom numarası, çekirdekteki proton sayısını belirtir. ",Nesnel
"Dizüstü bilgisayarlar, masaüstü bilgisayarlara göre daha kullanışlıdır. ",Öznel,,"Demir, manyetik bir elementtir. ",Nesnel
"Futbol, bütün spor dallarından daha eğlencelidir. ",Öznel,,Vantilatör havayı hareket ettirerek serinlik sağlar. ,Nesnel
"Kırmızı renk, renklerin en güzelidir. ",Öznel,,Fotosentez sonucu glikoz ve oksijen oluşur. ,Nesnel
Akıllı telefonlar hayatımızı kolaylaştırdı. ,Öznel,,Canlılar hücrelerden oluşur. ,Nesnel
Dergi okumak insanın ufkunu açar. ,Öznel,,Bazı mantarlar şapkalı yapıdadır. ,Nesnel
"Televizyon seyretmek, insanı bilgilendirir. ",Öznel,,"Pamuk, tekstil sanayisinde kullanılan bir bitkidir. ",Nesnel
"Soslu döner, en güzel aperatiftir. ",Öznel,,Türkiye'nin en kalabalık ili İstanbul’dur. ,Nesnel
"Kabak dolması, en güzel yemektir. ",Öznel,,Cep telefonlarında genellikle lityum iyon piller kullanılır. ,Nesnel
Dolma kalem en kullanışlı kalemdir. ,Öznel,,Maddeler hal değiştirirken kimyasal yapıları değişmez. ,Nesnel
Örgün eğitim herkes için gereklidir. ,Öznel,,Türkiye’nin güneydoğusunda karasal iklim görülür. ,Nesnel
Açık öğretim okunarak bir yere gelinmez. ,Öznel,,Sürtünme kuvveti hareketi zorlaştırır. ,Nesnel
Sırt çantası en kullanışlı çantadır. ,Öznel,,İnsanda kas sistemi istemli ve istemsiz kaslardan oluşur. ,Nesnel
Tiyatrodan önce mutlaka prova yapmak gerekir. ,Öznel,,Genler kalıtsal bilgiyi taşır. ,Nesnel
Doktorluk en güzel meslektir. ,Öznel,,Sera etkisi atmosferdeki gazların ısıyı tutmasıyla oluşur. ,Nesnel
Öğretmenlik çok yorucu bir meslektir. ,Öznel,,Mikroskobik canlılar çıplak gözle görülemez. ,Nesnel
Ben şiir yazmayı severim ,Öznel,,"Gözdeki retina, görüntüyü algılar. ",Nesnel
Arkadaşımın resmini çok beğendim. ,Öznel,,Zürafaların boyunlarında yedi omur bulunur. ,Nesnel
Gürültülü ortamdan hoşlanmam. ,Öznel,,Türkiye Asya ve Avrupa kıtaları arasında köprü konumundadır. ,Nesnel
Güneşli havayı çok severim. ,Öznel,,Sabit süratle giden araç ivmesiz hareket yapar. ,Nesnel
"Yüzme, futboldan daha eğlencelidir. ",Öznel,,Arılar balı nektardan üretir. ,Nesnel
Kırmızı en sevdiğim ve kendime yakıştırdığım renktir. ,Öznel,,Işık doğrusal yolla yayılır. ,Nesnel
Kitapta anlatılanlar insanı başka diyarlara götürüyor. ,Öznel,,Bakteriler tek hücrelidir. ,Nesnel
Yazarın en sevilen kitapları arasında bu üç eser yer alıyor. ,Öznel,,Sıvılar konulduğu kabın şeklini alır. ,Nesnel
Dizinin böyle bir final yapması beni üzdü. ,Öznel,,Dünya'da en çok konuşulan dil Çince'dir. ,Nesnel
"Yemyeşil bir doğa ve masmavi bir deniz, insan bundan başka ne ister ki? ",Öznel,,Madenler yer altından çıkarılır. ,Nesnel
Şarkıcının sesi insanları derinden etkiliyordu. ,Öznel,,Türkiye’nin resmi para birimi Türk lirasıdır. ,Nesnel
Arabanın modifiyeli görüntüsü seyircileri etkilemişti. ,Öznel,,Sesin yayılma hızı ortamdaki sıcaklığa bağlıdır. ,Nesnel
Hafta sonu her öğrencinin sevdiği zamanlardır. ,Öznel,,"Ay’ın dört ana evresi vardır: yeniay, ilkdördün, dolunay, sondördün. ",Nesnel
Kar yağdıkça hepimiz mutlu oluyorduk. ,Öznel,,Bitki hücrelerinde kloroplast bulunur. ,Nesnel
Bu yıl turist sayısında artış bekleniyor. ,Öznel,,"Metan, doğalgazın ana bileşenidir. ",Nesnel
Konuşmasında ilginç olaylara değindi. ,Öznel,,İnsanların kemik iliğinde kan hücreleri üretilir. ,Nesnel
Bu kitabın soruları daha basit. ,Öznel,,"Türkiye, 7 coğrafi bölgeye ayrılmıştır. ",Nesnel
Youtube edebiyat kanalları içinde Deniz Hoca‘yı severek takip ediyorum. ,Öznel,,Yağmur bulutlardan yere düşen su damlalarıdır. ,Nesnel
"Bana göre, bu bina dörtyüz bin lira eder. ",Öznel,,Kalem yazı yazmak için kullanılan bir araçtır. ,Nesnel
" Kanımca, şair çocukluk günlerinde yaşadıklarını anlatıyor olabilir ",Öznel,,Kimyasal tepkimelerde atom sayısı korunur. ,Nesnel
".Ben bu romandan çok etkilendim, güzel. ",Öznel,,"Suyun üç hali vardır: katı, sıvı, gaz. ",Nesnel
" En iyi tatil, ormanda ve kırlarda yapılan tatildir. ",Öznel,,Renkler beyaz ışığın kırılmasıyla oluşur. ,Nesnel
Benim arabam 800 bin tl eder. ,Öznel,,Bitkiler klorofil sayesinde yeşil renge sahiptir. ,Nesnel
Evinin boyası çok güzel olmuş ,Öznel,,"DNA, kalıtsal bilgiyi taşıyan moleküldür. ",Nesnel
Kadınlar makyajsız daha güzel ,Öznel,,"İnsan vücudu sistemlerden oluşur: sindirim, dolaşım vb. ",Nesnel
Esmer erkekler daha çekicidir ,Öznel,,Türkiye’de Cumhuriyet Bayramı 29 Ekim’de kutlanır. ,Nesnel
Gümüş saat erkeklere yakışıyor ,Öznel,,Işığın kırılması ortam değişiminde gerçekleşir. ,Nesnel
Kısa boylu erkekler uzun boylu erkeklere göre daha çekicidir ,Öznel,,Deniz seviyesinden yükseldikçe hava basıncı azalır. ,Nesnel
Kahverengi sandalye siyah sandalyeden daha güzel duruyor ,Öznel,,Atomun büyük kısmı boşluktur. ,Nesnel
Kulaklık takmak zordur ,Öznel,,Karadelikler ışığı bile çekebilecek kadar yoğundur. ,Nesnel
Kodlama yapmak kolaydır ,Öznel,,İnsan beyni iki yarım küreden oluşur. ,Nesnel
Ders çalışmayı hiç sevmem ,Öznel,,"Bir kilogram, 2,20462 pound’a eşittir. ",Nesnel
Toplu taşımayı kullanmak benim için zaman kaybıdır ,Öznel,,"Dünya’nın atmosferi, beş ana katmandan oluşur. ",Nesnel
"En iyi tatil, ormanda yapılan tatildir. ",Öznel,,Türkiye’nin en büyük adası Gökçeada’dır. ,Nesnel
Oltayı atıp saatlerce beklemek bana zaman kaybı gibi geliyor. ,Öznel,,"Hidrojen, evrendeki en yaygın elementtir. ",Nesnel
Bugün benim için çok sıkıcı bir gün oldu. ,Öznel,,"Bir milisaniye, saniyenin binde biridir. ",Nesnel
Bence bu film Oscar ödülünü almalıdır. ,Öznel,,"Antarktika’daki buz tabakası, yaklaşık 14 milyon kilometrekarelik bir alanıkaplar. ",Nesnel
Evde köpek yerine kedi bakmayı tercih ederim. ,Öznel,,"İnsan saçı, keratin adı verilen bir proteinden oluşur. ",Nesnel
Umut en sevdiğim isimdir. ,Öznel,,"Türkiye, 1921 Anayasası’nı kabul etmiştir. ",Nesnel
"Vatan sevgisi, en büyük sevgilerden biridir. ",Öznel,,"Kütleçekim sabiti, yaklaşık 6,674 × 10⁻¹¹ m³ kg⁻¹ s⁻²’dir. ",Nesnel
Amsterdam  dünyanın en gizemli ve güzel şehridir. ,Öznel,,"Bir bardak su, yaklaşık 250 mililitre hacme sahiptir. ",Nesnel
Mavi benim için özgürlük ve umut demektir. ,Öznel,,"Venüs’ün yüzey sıcaklığı, yaklaşık 460 santigrat derecedir. ",Nesnel
Yağmurlu havalar bana huzur verir. ,Öznel,,Türkiye’nin en kalabalık şehri İstanbul’dur. ,Nesnel
En güzel meyve mangodur. ,Öznel,,"Lityum, periyodik tabloda Li sembolü ile gösterilir. ",Nesnel
O filmin sonu gerçekten çok kötüydü. ,Öznel,,"Bir kürenin hacmi, 4/3πr³ formülüyle hesaplanır. ",Nesnel
Sabah erken kalkmak işkence gibi geliyor. ,Öznel,,"İnsan burnu, yaklaşık 10.000 farklı kokuyu algılayabilir. ",Nesnel
"Turuncu, insana ferahlık hissi veriyor. ",Öznel,,"Türkiye, 1963’te Avrupa Birliği ile ortaklık anlaşması imzalamıştır. ",Nesnel
Tatlılar yemekten daha lezzetlidir. ,Öznel,,"Elektrik direnci, ohm birimiyle ölçülür. ",Nesnel
Sessiz ortamda çalışmak çok daha verimli. ,Öznel,,"Dünya’nın kutup çapı, yaklaşık 12.714 kilometredir. ",Nesnel
Kahve sabahları vazgeçilmezimdir. ,Öznel,,"Bir milibar, 100 pascal basınca eşittir. ",Nesnel
Bu şarkı beni derinden etkiliyor. ,Öznel,,Türkiye’nin en uzun dağı Munzur Dağı’dır. ,Nesnel
Fizik çok zor bir ders. ,Öznel,,"Neon, periyodik tabloda Ne sembolü ile temsil edilir. ",Nesnel
En güzel tatil deniz kenarında yapılır. ,Öznel,,"İnsan cildi, yaklaşık 2 metrekarelik bir alanı kaplar. ",Nesnel
Bu kitap gereğinden fazla uzatılmış. ,Öznel,,"Bir nanometre, metrenin milyarda biridir. ",Nesnel
Kırmızı ruj herkese yakışmaz. ,Öznel,,"Türkiye, 1952 yılında NATO’ya üye olmuştur. ",Nesnel
Yeni diziyi hiç beğenmedim. ,Öznel,,"Güneş’in yüzey sıcaklığı, yaklaşık 5.500 santigrat derecedir. ",Nesnel
Kalabalık şehirlerde yaşamak çok stresli. ,Öznel,,"Bir prismoidin hacmi, taban alanlarının ortalaması ile yüksekliğin çarpımıdır. ",Nesnel
En etkileyici mevsim sonbahardır. ,Öznel,,"İnsan kalbi, yaklaşık 250-350 gram ağırlığındadır. ",Nesnel
Karpuzun içine tuz koymak çok kötü bir fikir. ,Öznel,,Türkiye’nin en derin gölü Beyşehir Gölü’dür. ,Nesnel
Kediler köpeklerden daha zekidir. ,Öznel,,"Oksijen, periyodik tabloda O sembolü ile gösterilir. ",Nesnel
Bu öğretmen çok sıkıcı anlatıyor. ,Öznel,,"Bir desibel, ses yoğunluğunu ölçen bir birimdir. ",Nesnel
Cep telefonları insanları asosyal yapıyor. ,Öznel,,"Dünya’nın manyetik alanı, kuzey ve güney kutuplarında yoğunlaşır. ",Nesnel
Pazar sabahları en güzel kahvaltı yapılır. ,Öznel,,"Türkiye, 1982 Anayasası’nı kullanmaktadır. ",Nesnel
Kış mevsimi kesinlikle yazdan daha iyidir. ,Öznel,,"Bir ışık saniyesi, yaklaşık 300.000 kilometre mesafedir. ",Nesnel
Bu sanatçının sesi bana hitap etmiyor. ,Öznel,,"İnsan akciğerlerinin toplam yüzey alanı, yaklaşık 70 metrekaredir. ",Nesnel
Erken yatmak hayat kalitesini artırır. ,Öznel,,Türkiye’nin en büyük barajı Atatürk Barajı’dır. ,Nesnel
Şehir hayatı bana göre değil. ,Öznel,,"Bor, periyodik tabloda B sembolü ile gösterilir. ",Nesnel
Kitap okumak film izlemekten daha keyifli. ,Öznel,,"Bir radyan, yaklaşık 57,3 dereceye eşittir. ",Nesnel
En sevdiğim yemek annemin yaptığı makarna. ,Öznel,,Dünya’nın en büyük çölü Sahra Çölü’dür. ,Nesnel
Kırmızı ışıkta beklemek çok sinir bozucu. ,Öznel,,"Türkiye, 1932 yılında Milletler Cemiyeti’ne üye olmuştur. ",Nesnel
Bu otelin yemekleri çok kötüydü. ,Öznel,,"İnsan kanının pH değeri, yaklaşık 7,4’tür. ",Nesnel
Sabahları spor yapmak insanı dinçleştiriyor. ,Öznel,,"Bir amper, saniyede bir coulomb elektrik akışıdır. ",Nesnel
Uçakla seyahat etmek çok gergin bir süreç. ,Öznel,,Türkiye’nin en uzun plajı Patara Plajı’dır. ,Nesnel
En güzel müzik türü klasik müziktir. ,Öznel,,"Silikon, periyodik tabloda Si sembolü ile temsil edilir. ",Nesnel
Bu sınav çok gereksizdi. ,Öznel,,"Bir trapezoidin alanı, tabanların toplamının yarısı ile yüksekliğin çarpımıdır. ",Nesnel
Çocuklarla vakit geçirmek çok eğlenceli. ,Öznel,,"İnsan göz bebeği, ışığa göre büyüyüp küçülür. ",Nesnel
Telefonla konuşmaktansa mesaj atmak daha iyi. ,Öznel,,"Türkiye, 1945’te Birleşmiş Milletler’in kurucu üyelerinden biri olmuştur. ",Nesnel
Kitapçıda saatlerce vakit geçirmek harika. ,Öznel,,"Bir volt, joule başına coulomb olarak tanımlanır. ",Nesnel
Yürüyüş yapmak bana terapi gibi geliyor. ,Öznel,,"Dünya’nın en büyük mercan resifi, Büyük Set Resifi’dir. ",Nesnel
"Bu tabloya bayıldım, çok etkileyici. ",Öznel,,Türkiye’nin en büyük limanı Ambarlı Limanı’dır. ,Nesnel
Trafikte beklemek tam bir zaman kaybı. ,Öznel,,"Krom, periyodik tabloda Cr sembolü ile gösterilir. ",Nesnel
Tatlılar olmadan bir günüm eksik geçer. ,Öznel,,"Bir hektolitre, 100 litreye eşittir. ",Nesnel
Çiçekli elbiseler yazın en güzel kıyafetleri. ,Öznel,,"İnsan tırnakları, ayda yaklaşık 3 milimetre uzar. ",Nesnel
Şiir okumak ruhumu dinlendiriyor. ,Öznel,,"Türkiye, 1934’te soyadı kanununu kabul etmiştir. ",Nesnel
Sinema salonunda patlamış mısır yemek şart. ,Öznel,,"Bir tesla, manyetik alan şiddetini ölçen bir birimdir. ",Nesnel
Yaşadığım şehir çok sıkıcı. ,Öznel,,Dünya’nın en uzun mağarası Mammoth Mağarası’dır. ,Nesnel
Bu oyuncu rolüne hiç yakışmamış. ,Öznel,,Türkiye’nin en büyük havalimanı İstanbul Havalimanı’dır. ,Nesnel
Sıcak çikolata kış günlerinin ilacı. ,Öznel,,"Manganez, periyodik tabloda Mn sembolü ile temsil edilir. ",Nesnel
Kahvaltı günün en güzel öğünü. ,Öznel,,"Bir santigrat derece, Kelvin ölçeğinde bir dereceye eşittir. ",Nesnel
Uyandıktan sonra yatakta kalmak en güzel an. ,Öznel,,"İnsan dişleri, mine adı verilen sert bir tabakayla kaplıdır. ",Nesnel
Karanlıkta yürümek beni korkutur. ,Öznel,,"Türkiye, 1961 Anayasası’nı referandumla kabul etmiştir. ",Nesnel
Tatilde kitap okumak tatilin en keyifli kısmı. ,Öznel,,"Bir joule, bir newton-metre enerjiye eşittir. ",Nesnel
Bugün hava çok sıcaktı ,Öznel,,Dünya’nın en büyük gölü Hazar Denizi’dir. ,Nesnel
Bicibiciyi sevmem ,Öznel,,Türkiye’nin en uzun demiryolu hattı Ankara-İstanbul hattıdır. ,Nesnel
Patlamış mısırı çok severim ,Öznel,,"Nikel, periyodik tabloda Ni sembolü ile gösterilir. ",Nesnel
Kurşun kalemi tükenmez kaleme tercih ederim ,Öznel,,"Bir milimikron, bir nanometreye eşittir. ",Nesnel
Müzik dinlemeyi basketbol oynamaktan daha çok severim ,Öznel,,"İnsan kulağı, 20 Hz ile 20.000 Hz arasındaki sesleri algılar. ",Nesnel
Fitness diğer sporlara göre daha eğlenceli ,Öznel,,"Türkiye, 1928’de Latin alfabesine geçiş yapmıştır. ",Nesnel
Deniz huzur veriyor. ,Öznel,,"Bir weber, manyetik akıyı ölçen bir birimdir. ",Nesnel
Güneş içimi ısıtıyor. ,Öznel,,Dünya’nın en büyük şelalesi Victoria Şelalesi’dir. ,Nesnel
Kahve kokusu çok iğrenç. ,Öznel,,Türkiye’nin en büyük milli parkı Yedigöller Milli Parkı’dır. ,Nesnel
Çocuklar neşe kaynağıdır ,Öznel,,"Kobalt, periyodik tabloda Co sembolü ile temsil edilir. ",Nesnel
Yağmur sesi sakinleştiricidir. ,Öznel,,"Bir lux, bir metrekareye düşen bir lümen ışığıdır. ",Nesnel
Kitaplar arkadaş gibidir. ,Öznel,,"İnsan bağırsaklarının uzunluğu, yaklaşık 7 metredir. ",Nesnel
Müzik ruhuma dokunur. ,Öznel,,"Türkiye, 1938’de Hatay’ın anavatana katılmasını sağlamıştır. ",Nesnel
Çiçekler çok güzel gözüküyor. ,Öznel,,"Bir farad, elektrik kapasitansını ölçen bir birimdir. ",Nesnel
Yıldızlar parlıyor yine. ,Öznel,,Dünya’nın en büyük volkanı Mauna Loa’dır. ,Nesnel
Anılar canlanıyor şimdi. ,Öznel,,Türkiye’nin en büyük stadyumu Atatürk Olimpiyat Stadı’dır. ,Nesnel
İlkbahar geldi sonunda. ,Öznel,,"Çinko, periyodik tabloda Zn sembolü ile gösterilir. ",Nesnel
Yürüyüş kötü geldi. ,Öznel,,"Bir knot, saatte 1,852 kilometre hıza eşittir. ",Nesnel
Sohbet çok keyifsizdir. ,Öznel,,"İnsan karaciğeri, yaklaşık 1,5 kilogram ağırlığındadır. ",Nesnel
Yemek lezzetsiz olmuş. ,Öznel,,"Türkiye, 1949’da Avrupa Konseyi’ne üye olmuştur. ",Nesnel
Orman sessiz ve derin. ,Öznel,,"Bir henry, endüktansı ölçen bir birimdir. ",Nesnel
Şehir ışıkları büyüleyici. ,Öznel,,Dünya’nın en uzun köprüsü Çin’deki Danyang-Kunshan Büyük Köprüsü’dür. ,Nesnel
Başarı mutluluk getirir. ,Öznel,,Türkiye’nin en büyük müzesi Topkapı Sarayı Müzesi’dir. ,Nesnel
Sanat ilham verici. ,Öznel,,"Bakır, periyodik tabloda Cu sembolü ile temsil edilir. ",Nesnel
Pembe en sevdiğim. ,Öznel,,"Bir candela, ışık şiddetini ölçen bir birimdir. ",Nesnel
Dağlar heybetli duruyor. ,Öznel,,"İnsan böbrekleri, günde yaklaşık 180 litre kan filtreler. ",Nesnel
Şömine sıcak tutuyor. ,Öznel,,"Türkiye, 1924’te halifeliği kaldırmıştır. ",Nesnel
